Origin,Destination,Distance_km
Delhi,New Delhi,2.29
New Delhi,Delhi,2.29
Delhi,Dalupura,12.72
Dalupura,Delhi,12.72
Delhi,Garhi,12.0
Garhi,Delhi,12.0
Delhi,Murtazabad,16.62
Murtazabad,Delhi,16.62
Delhi,Bhalswa Jahangirpur,18.23
Bhalswa Jahangirpur,Delhi,18.23
Delhi,Loni,21.36
Loni,Delhi,21.36
Delhi,Nangloi Jat,20.62
Nangloi Jat,Delhi,20.62
Delhi,Sultanpur Mazra,22.42
Sultanpur Mazra,Delhi,22.42
Delhi,Ghaziabad,28.39
Ghaziabad,Delhi,28.39
Delhi,Faridabad,25.58
Faridabad,Delhi,25.58
Mumbai,Thane,20.3
Thane,Mumbai,20.3
Mumbai,Bhayandar,32.96
Bhayandar,Mumbai,32.96
Mumbai,Vasai-Virar,53.9
Vasai-Virar,Mumbai,53.9
Mumbai,Kalyan,48.75
Kalyan,Mumbai,48.75
Mumbai,Pimpri-Chinchwad,133.98
Pimpri-Chinchwad,Mumbai,133.98
Mumbai,Pune,146.17
Pune,Mumbai,146.17
Mumbai,Nasik,166.35
Nasik,Mumbai,166.35
Mumbai,Surat,275.51
Surat,Mumbai,275.51
Mumbai,Aurangabad,325.99
Aurangabad,Mumbai,325.99
Mumbai,Vadodara,403.87
Vadodara,Mumbai,403.87
Bangalore,Byatarayanpur,10.65
Byatarayanpur,Bangalore,10.65
Bangalore,Dasarhalli,13.57
Dasarhalli,Bangalore,13.57
Bangalore,Herohalli,14.34
Herohalli,Bangalore,14.34
Bangalore,Abbigeri,16.22
Abbigeri,Bangalore,16.22
Bangalore,Yelahanka,14.63
Yelahanka,Bangalore,14.63
Bangalore,Oulgaret,315.85
Oulgaret,Bangalore,315.85
Bangalore,Pappakurichchi,326.94
Pappakurichchi,Bangalore,326.94
Bangalore,Puducherry,340.04
Puducherry,Bangalore,340.04
Bangalore,Pallavaram,313.77
Pallavaram,Bangalore,313.77
Bangalore,Ambattur,320.37
Ambattur,Bangalore,320.37
Hyderabad,Mirpeta,9.45
Mirpeta,Hyderabad,9.45
Hyderabad,Secunderabad,11.69
Secunderabad,Hyderabad,11.69
Hyderabad,Kukatpalli,17.66
Kukatpalli,Hyderabad,17.66
Hyderabad,Vijayavada,273.06
Vijayavada,Hyderabad,273.06
Hyderabad,Nagpur,495.52
Nagpur,Hyderabad,495.52
Hyderabad,Aurangabad,537.82
Aurangabad,Hyderabad,537.82
Hyderabad,Yelahanka,546.29
Yelahanka,Hyderabad,546.29
Hyderabad,Byatarayanpur,550.88
Byatarayanpur,Hyderabad,550.88
Hyderabad,Abbigeri,551.56
Abbigeri,Hyderabad,551.56
Hyderabad,Dasarhalli,556.14
Dasarhalli,Hyderabad,556.14
Chennai,Nerkunram,10.26
Nerkunram,Chennai,10.26
Chennai,Madhavaram,10.71
Madhavaram,Chennai,10.71
Chennai,Tiruvottiyur,11.47
Tiruvottiyur,Chennai,11.47
Chennai,Manali,12.77
Manali,Chennai,12.77
Chennai,Ambattur,16.63
Ambattur,Chennai,16.63
Chennai,Madipakkam,22.63
Madipakkam,Chennai,22.63
Chennai,Pallavaram,22.85
Pallavaram,Chennai,22.85
Chennai,Oulgaret,163.99
Oulgaret,Chennai,163.99
Chennai,Puducherry,168.92
Puducherry,Chennai,168.92
Chennai,Yelahanka,330.18
Yelahanka,Chennai,330.18
Ahmedabad,Vadodara,116.7
Vadodara,Ahmedabad,116.7
Ahmedabad,Surat,262.21
Surat,Ahmedabad,262.21
Ahmedabad,Rajkot,216.78
Rajkot,Ahmedabad,216.78
Ahmedabad,Nasik,472.36
Nasik,Ahmedabad,472.36
Ahmedabad,Jodhpur,447.49
Jodhpur,Ahmedabad,447.49
Ahmedabad,Indore,385.83
Indore,Ahmedabad,385.83
Ahmedabad,Vasai-Virar,485.86
Vasai-Virar,Ahmedabad,485.86
Ahmedabad,Bhayandar,500.18
Bhayandar,Ahmedabad,500.18
Ahmedabad,Kalyan,512.48
Kalyan,Ahmedabad,512.48
Ahmedabad,Thane,508.36
Thane,Ahmedabad,508.36
Kolkata,Haora,6.33
Haora,Kolkata,6.33
Kolkata,Salt Lake City,7.87
Salt Lake City,Kolkata,7.87
Kolkata,Chakapara,10.56
Chakapara,Kolkata,10.56
Kolkata,Dam Dam,10.83
Dam Dam,Kolkata,10.83
Kolkata,Titagarh,21.88
Titagarh,Kolkata,21.88
Kolkata,Shrirampur,27.69
Shrirampur,Kolkata,27.69
Kolkata,Barakpur,24.39
Barakpur,Kolkata,24.39
Kolkata,Baj Baj,25.64
Baj Baj,Kolkata,25.64
Kolkata,Bauria,30.66
Bauria,Kolkata,30.66
Kolkata,Chandannagar,44.68
Chandannagar,Kolkata,44.68
Surat,Vadodara,145.73
Vadodara,Surat,145.73
Surat,Nasik,226.58
Nasik,Surat,226.58
Surat,Vasai-Virar,240.08
Vasai-Virar,Surat,240.08
Surat,Ahmedabad,255.17
Ahmedabad,Surat,255.17
Surat,Bhayandar,254.4
Bhayandar,Surat,254.4
Surat,Kalyan,266.71
Kalyan,Surat,266.71
Surat,Thane,262.59
Thane,Surat,262.59
Surat,Mumbai,276.56
Mumbai,Surat,276.56
Surat,Rajkot,430.07
Rajkot,Surat,430.07
Surat,Pimpri-Chinchwad,393.72
Pimpri-Chinchwad,Surat,393.72
Lucknow,Kanpur,83.21
Kanpur,Lucknow,83.21
Lucknow,Prayagraj,205.51
Prayagraj,Lucknow,205.51
Lucknow,Mirzapur,300.08
Mirzapur,Lucknow,300.08
Lucknow,Varanasi,292.87
Varanasi,Lucknow,292.87
Lucknow,Haldwani,349.08
Haldwani,Lucknow,349.08
Lucknow,Gwalior,350.69
Gwalior,Lucknow,350.69
Lucknow,Agra,332.27
Agra,Lucknow,332.27
Lucknow,Aligarh,339.28
Aligarh,Lucknow,339.28
Lucknow,Jabalpur,506.69
Jabalpur,Lucknow,506.69
Lucknow,Meerut,464.03
Meerut,Lucknow,464.03
Pune,Pimpri-Chinchwad,15.1
Pimpri-Chinchwad,Pune,15.1
Pune,Kalyan,157.41
Kalyan,Pune,157.41
Pune,Thane,150.78
Thane,Pune,150.78
Pune,Mumbai,149.41
Mumbai,Pune,149.41
Pune,Bhayandar,173.61
Bhayandar,Pune,173.61
Pune,Vasai-Virar,187.92
Vasai-Virar,Pune,187.92
Pune,Nasik,211.88
Nasik,Pune,211.88
Pune,Aurangabad,233.38
Aurangabad,Pune,233.38
Pune,Surat,409.53
Surat,Pune,409.53
Pune,Vadodara,537.9
Vadodara,Pune,537.9
Jaipur,Kota,249.12
Kota,Jaipur,249.12
Jaipur,Najafgarh,259.86
Najafgarh,Jaipur,259.86
Jaipur,Faridabad,268.33
Faridabad,Jaipur,268.33
Jaipur,Nangloi Jat,272.71
Nangloi Jat,Jaipur,272.71
Jaipur,Sultanpur Mazra,274.7
Sultanpur Mazra,Jaipur,274.7
Jaipur,New Delhi,273.5
New Delhi,Jaipur,273.5
Jaipur,Delhi,275.71
Delhi,Jaipur,275.71
Jaipur,Agra,239.82
Agra,Jaipur,239.82
Jaipur,Dalupura,295.55
Dalupura,Jaipur,295.55
Jaipur,Bhalswa Jahangirpur,280.65
Bhalswa Jahangirpur,Jaipur,280.65
Kanpur,Lucknow,84.0
Lucknow,Kanpur,84.0
Kanpur,Prayagraj,201.71
Prayagraj,Kanpur,201.71
Kanpur,Gwalior,265.11
Gwalior,Kanpur,265.11
Kanpur,Agra,280.34
Agra,Kanpur,280.34
Kanpur,Mirzapur,298.15
Mirzapur,Kanpur,298.15
Kanpur,Aligarh,300.6
Aligarh,Kanpur,300.6
Kanpur,Haldwani,368.2
Haldwani,Kanpur,368.2
Kanpur,Varanasi,327.71
Varanasi,Kanpur,327.71
Kanpur,Jabalpur,451.44
Jabalpur,Kanpur,451.44
Kanpur,Faridabad,417.42
Faridabad,Kanpur,417.42
Mirzapur,Varanasi,60.71
Varanasi,Mirzapur,60.71
Mirzapur,Prayagraj,89.05
Prayagraj,Mirzapur,89.05
Mirzapur,Lucknow,293.75
Lucknow,Mirzapur,293.75
